,
225,11
566,3
1283,3
3439,1002
960,19
642,41
183,18
2319,5
229,7
728,42
4635,6
283,63
1323,18
2340,52
295,5
5,7
317,5
229,4
2597,6
1938,30
468,142
2315,3
216,4
294,3
555,5
4619,3
153,6
359,5
217,4
223,4
430,9
30,56
129,3
6,3
196,8
104,9
147,88
213,3
499,5
233,4
416,5
1197,162
548,18
26,17
2284,8
622,5
786,10
617,4
150,34
3214,32
40,3
213,4
2720,8
213,3
172,8
102,104
535,3
148,3
608,3
2199,95
142,14
16,3
149,11
252,85
20,4
1070,3
158,5
1828,33
1127,4
253,4
2380,4
2460,6
29,5
205,6
220,5
42,41
12,7
233,6
86,36
329,3
135,6
10,3
313,8
1771,3
87,3
1263,10
1922,5
31,61
883,3
234,3
93,3
1794,15
20,12
169,4
3374,14
507,41
6,4
276,11
153,18
920,4
199,5
1942,9
338,19
10,8
877,3
145,6
20,6
555,3
260,12
555,8
118,3
156,4
3435,3
1218,23
2566,17
227,7
489,38
3668,39
147,3
773,328
456,5
58,13
360,3
2187,3
250,7
673,16
587,37
4500,19
1769,7
930,65
63,35
134,5
4614,4
286,9
56,41
202,3
2284,6
466,14
2069,3
1225,83
1321,3
128,3
90,24
205,3
229,13
215,27
144,7
199,3
240,6
5729,901
15,27
1695,10
367,31
222,6
259,11
261,12
119,6
400,21
195,3
37,13
523,25
713,6
208,5
99,9
164,51
147,12
2074,7
105,8
929,39
4669,89
2400,13
115,3
24,4
1677,3
557,4
135,39
97,3
2624,13
2171,68
257,3
1473,3
1413,117
236,8
236,4
147,7
241,111
759,3
159,3
4984,192
90,12
4377,7
217,15
1344,18
205,47
1918,108
1865,5
1246,3
484,5
5,5
678,3
211,6
601,4
808,8
1667,3
743,4
241,8
153,6
4271,8
167,18
185,4
42,5
165,10
559,159
169,3
685,6
291,5
1722,6
34,3
592,6
2642,3
186,156
1442,188
541,4
1687,15
2029,6
1298,136
2404,5
8,8
388,10
413,4
2118,134
6095,1002
164,4
2284,6
381,165
1721,4
204,17
2557,3
1293,4
555,4
559,21
931,5
555,7
2206,10
1264,43
555,3
86,5
244,13
4377,7
953,8
112,6
201,8
660,38
211,6
2147,95
555,5
236,4
78,62
1079,5
196,26
281,10
3152,9
77,115
1264,3
203,33
1237,11
702,10
44,5
238,9
891,3
397,9
375,5
646,14
1946,5
4747,1002
440,5
2682,5
205,3
1926,45
759,5
1218,12
179,29
44,4
234,94
2284,3
1028,32
4313,262
575,5
93,7
2455,4
351,18
1378,73
521,13
190,4
201,3
1619,3
366,15
15,3
1821,5
190,5
232,4
207,7
2537,6
215,3
30,35
1788,5
127,257
172,3
147,38
93,6
117,5
197,3
254,3
4377,12
815,25
394,7
555,5
4487,5
243,10
1709,4
225,4
189,3
751,9
154,11
2389,6
2171,91
855,794
211,6
259,4
209,3
150,4
203,3
2787,6
213,3
2284,4
243,171
397,10
169,4
1644,115
542,6
105,5
179,7
89,12
6,3
157,38
2279,33
208,12
109,72
707,49
438,7
195,3
243,32
1157,4
2284,4
1624,420
290,4
121,39
545,7
581,9
153,4
2982,4
533,6
2572,4
1253,18
199,142
298,4
206,20
555,4
125,10
324,3
548,4
547,12
92,4
2765,45
1282,4
547,4
133,6
454,4
1721,3
877,23
582,8
135,83
225,3
2368,4
212,94
402,129
2598,4
41,54
524,12
2309,26
1904,5
60,72
559,33
355,19
1114,3
1911,13
868,15
1205,38
520,13
349,13
2437,4
567,13
27,4
6028,183
8,3
1202,3
2402,3
366,11
387,20
149,16
55,3
601,68
182,6
229,125
1977,4
143,40
92,19
63,3
239,6
2564,44
5283,165
203,4
980,76
321,4
1727,14
232,18
133,3
107,4
217,5
128,4
1757,5
70,3
16,5
104,31
374,90
421,1002
205,56
4619,3
1356,37
240,7
1699,3
229,5
3694,3
1552,33
240,8
1151,6
617,19
1788,3
2425,11
220,3
454,6
878,20
443,3
205,4
188,3
2643,4
566,8
223,5
115,7
422,26
264,14
1082,7
52,80
15,10
105,9
1424,3
199,25
100,10
865,10
43,3
117,4
309,4
4,3
259,88
799,13
168,176
254,4
198,13
174,10
853,20
1945,7
163,22
1973,4
912,15
897,12
274,4
400,5
855,48
92,5
103,12
989,4
382,3
2,9
66,21
141,7
30,4
301,14
900,16
21,6
1555,3
482,27
78,3
2367,14
89,3
4984,3
614,117
2236,23
375,15
549,25
543,16
38,3
267,4
4984,102
503,24
1399,3
10,11
610,95
234,115
1278,11
252,27
2246,3
460,1002
469,19
835,7
1719,5
204,4
788,4
306,7
96,19
8,7
17,3
97,19
243,4
784,36
654,3
1034,6
491,4
231,4
77,15
2049,1002
1561,6
283,34
209,77
658,7
487,34
255,103
1978,12
2284,12
55,28
2527,4
169,337
136,4
1946,10
1391,20
826,6
6,3
3827,24
147,4
204,7
1468,4
330,3
1552,4
35,8
1832,17
1819,7
1766,31
231,6
1165,7
205,9
678,37
31,14
37,3
93,49
555,5
173,9
2605,5
938,25
206,3
362,7
