days, mement, link
1828 , 33 ,"http://www.treehugger.com/slideshows/ocean-conservation/10-marine-species-brink-mass-extinction-due-ocean-acidification/"
1127 , 4 ,"http://buytaert.net/acquia-retrospective-2013"
253 , 4 ,"http://truth-out.org/news/item/21330-dean-baker-the-trans-pacific-partnership-warnings-from-nafta"
2380 , 4 ,"http://fortune.com/2014/09/12/how-third-world-tech-can-help-the-u-s/"
2460 , 6 ,"http://www.rollingstone.com/music/news/hear-neil-youngs-only-love-can-break-your-heart-from-csny-1974-20140701"
29 , 5 ,"http://www.iranhumanrights.org/2014/08/makarem-internet/"
205 , 6 ,"http://betaboston.com/news/2014/03/04/as-white-house-kicks-off-federal-privacy-review-at-mit-officials-have-little-to-offer/"
220 , 5 ,"http://www.analystone.com/watch-authorspeaker-geoffrey-moore-of-crossing-the-chasm-on-big-data/"
42 , 41 ,"https://medium.com/message/ferguson-is-also-a-net-neutrality-issue-6d2f3db51eb0"
12 , 7 ,"http://techcrunch.com/2014/09/13/twitters-huge-mistake/"
233 , 6 ,"https://medium.com/@xor/houston-we-have-a-public-domain-problem-bd971c57dfdc"
86 , 36 ,"http://www.nationaljournal.com/congress/congress-quietly-deletes-a-key-disclosure-of-free-trips-lawmakers-take-20140630"
329 , 3 ,"http://sxsw.com/interactive/news/2014/2014-sxsw-interactive-session-spotlight-its-not-about-tech-%E2%80%93-hack-bureaucracy"
135 , 6 ,"http://nickgrossman.is/post/85523861949/fccs-response-to-the-vc-open-internet-letter"
10 , 3 ,"http://www.codeforamerica.org/blog/2014/09/15/govtech-fund-launch/"
313 , 8 ,"http://blog.peerj.com/post/67476390580/free-publications-in-peerj"
1771 , 3 ,"http://radar.oreilly.com/2014/05/whats-a-tech-company-anyway.html"
87 , 3 ,"http://nymag.com/daily/intelligencer/2014/07/why-robot-journalism-is-great-for-journalists.html?mid=twitter_nymag"
1263 , 10 ,"http://recode.net/2014/03/20/netflix-says-it-really-didnt-want-to-cut-that-traffic-deal-with-comcast/"
